@relation 'dataset_evasao_v2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.MathExpression-Eifelse (A < 0, 0, A)-unset-class-temporarily-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max61.5-max-defaultNaN-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R7-decimals-1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-Lfirst-last-M-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R7-precision6'

@attribute Media_Semestral_Notas numeric
@attribute Media_Disciplinas_Matriculadas numeric
@attribute Frequencia_Pct numeric
@attribute Reprovacoes numeric
@attribute Participa_Projetos {Sim,Nao}
@attribute Recebe_Auxilio {Nao,Sim}
@attribute Idade_Ingresso {'\'(-inf-24]\'','\'(24-31]\'','\'(31-38]\'','\'(38-inf)\''}
@attribute Trabalha {Sim,Nao}
@attribute Evasao {Sim,Nao}

@data
7.6,7,86,0,Sim,Sim,'\'(-inf-24]\'',Nao,Nao
2.7,3,63,4,Sim,Nao,'\'(31-38]\'',Sim,Sim
9.3,7,97,0,Sim,Nao,'\'(31-38]\'',Nao,Sim
8,5,92,0,Sim,Nao,'\'(31-38]\'',Nao,Nao
1.7,2,46,7,Nao,Nao,'\'(38-inf)\'',Sim,Sim
1.5,4,75,4,Sim,Sim,'\'(38-inf)\'',Sim,Nao
5.568211,6,94,0,Sim,Sim,'\'(38-inf)\'',Sim,Sim
4.7,1,57,5,Sim,Nao,'\'(24-31]\'',Sim,Sim
1,4,88,4,Sim,Sim,'\'(31-38]\'',Sim,Nao
1.3,3,53,6,Sim,Nao,'\'(24-31]\'',Sim,Sim
3.1,3,55,6,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
3.3,4,81,4,Sim,Sim,'\'(38-inf)\'',Sim,Nao
1.8,3,57,7,Nao,Nao,'\'(31-38]\'',Sim,Sim
7.9,7,99,0,Sim,Nao,'\'(24-31]\'',Sim,Nao
8.3,8,97,0,Sim,Sim,'\'(38-inf)\'',Sim,Sim
5.568211,5,82,0,Sim,Sim,'\'(38-inf)\'',Sim,Nao
9.5,6,88,0,Sim,Sim,'\'(38-inf)\'',Nao,Nao
1.9,6,84,4,Sim,Sim,'\'(24-31]\'',Sim,Nao
2.8,2,51,6,Sim,Nao,'\'(38-inf)\'',Sim,Sim
7.2,8,85,0,Sim,Sim,'\'(-inf-24]\'',Nao,Nao
1.4,3,63,5,Sim,Nao,'\'(-inf-24]\'',Sim,Sim
10,6,96,0,Sim,Nao,'\'(24-31]\'',Sim,Sim
1.6,2,54,6,Sim,Nao,'\'(24-31]\'',Sim,Sim
9,7,95,0,Sim,Sim,'\'(24-31]\'',Sim,Nao
8.3,8,80,0,Sim,Sim,'\'(31-38]\'',Nao,Nao
8.6,8,83,0,Sim,Nao,'\'(24-31]\'',Nao,Nao
5.568211,3,51,6,Sim,Nao,'\'(24-31]\'',Sim,Sim
4.7,1,62,4,Nao,Nao,'\'(31-38]\'',Sim,Sim
4.2,1,64,7,Sim,Nao,'\'(31-38]\'',Sim,Sim
7.2,8,92,0,Sim,Nao,'\'(38-inf)\'',Sim,Nao
9.1,7,90,0,Sim,Sim,'\'(38-inf)\'',Sim,Nao
10,5,80,0,Sim,Nao,'\'(31-38]\'',Nao,Nao
3.3,1,0,5,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
4.5,3,82,3,Nao,Sim,'\'(38-inf)\'',Sim,Nao
2.2,3,61,4,Sim,Nao,'\'(31-38]\'',Sim,Sim
9.7,6,99,0,Sim,Nao,'\'(38-inf)\'',Sim,Sim
3.4,3,49,3,Nao,Nao,'\'(24-31]\'',Sim,Sim
3.6,1,46,5,Nao,Nao,'\'(24-31]\'',Sim,Sim
2.2,4,85,5,Nao,Sim,'\'(24-31]\'',Sim,Nao
2.6,2,46,7,Sim,Nao,'\'(-inf-24]\'',Sim,Sim
4.3,6,75,2,Sim,Sim,'\'(-inf-24]\'',Sim,Nao
7.6,6,87,0,Sim,Sim,'\'(-inf-24]\'',Sim,Nao
3.3,5,75,4,Nao,Sim,'\'(31-38]\'',Sim,Nao
8.7,6,93,0,Sim,Sim,'\'(38-inf)\'',Sim,Nao
8.9,8,83,0,Sim,Nao,'\'(38-inf)\'',Sim,Nao
9.1,8,94,0,Sim,Nao,'\'(24-31]\'',Sim,Nao
8.7,8,98,0,Sim,Sim,'\'(38-inf)\'',Sim,Sim
8.9,7,99,0,Sim,Sim,'\'(38-inf)\'',Nao,Sim
0,6,77,2,Nao,Sim,'\'(31-38]\'',Sim,Nao
0.8,3,44,6,Sim,Nao,'\'(31-38]\'',Sim,Sim
8.5,5,95,0,Sim,Sim,'\'(-inf-24]\'',Nao,Sim
4.2,6,86,3,Nao,Sim,'\'(38-inf)\'',Sim,Nao
8.6,6,100,0,Sim,Nao,'\'(31-38]\'',Sim,Sim
1.9,3,68,7,Sim,Nao,'\'(38-inf)\'',Sim,Sim
1.5,3,62,6,Sim,Nao,'\'(24-31]\'',Sim,Sim
8.1,5,94,0,Sim,Nao,'\'(38-inf)\'',Nao,Sim
10,5,97,0,Sim,Sim,'\'(31-38]\'',Nao,Sim
0.6,3,64,4,Nao,Nao,'\'(31-38]\'',Sim,Sim
8.3,7,85,0,Sim,Sim,'\'(-inf-24]\'',Nao,Nao
2.4,6,75,3,Sim,Sim,'\'(38-inf)\'',Sim,Nao
9.1,8,81,0,Sim,Sim,'\'(38-inf)\'',Nao,Nao
9,5,80,0,Sim,Sim,'\'(-inf-24]\'',Nao,Nao
2.5,1,53,3,Nao,Nao,'\'(24-31]\'',Sim,Sim
9.4,6,80,0,Sim,Nao,'\'(24-31]\'',Nao,Nao
4.2,4,82,5,Sim,Sim,'\'(-inf-24]\'',Sim,Nao
7,8,89,0,Sim,Nao,'\'(38-inf)\'',Sim,Nao
2.4,4,88,5,Sim,Sim,'\'(31-38]\'',Sim,Nao
3.9,3,42,3,Sim,Nao,'\'(-inf-24]\'',Sim,Sim
8.2,5,95,0,Sim,Nao,'\'(31-38]\'',Nao,Nao
9.7,5,89,0,Sim,Sim,'\'(38-inf)\'',Nao,Nao
5.568211,3,85,2,Nao,Sim,'\'(31-38]\'',Sim,Nao
9.7,6,97,0,Sim,Sim,'\'(38-inf)\'',Sim,Sim
2.5,3,61,4,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
9.1,7,88,0,Sim,Sim,'\'(-inf-24]\'',Nao,Nao
9.9,8,100,0,Sim,Sim,'\'(-inf-24]\'',Nao,Sim
4.2,2,67,7,Sim,Nao,'\'(-inf-24]\'',Sim,Sim
0.4,3,56,4,Sim,Nao,'\'(31-38]\'',Sim,Sim
9.1,6,98,0,Sim,Sim,'\'(-inf-24]\'',Sim,Sim
9.6,8,98,0,Sim,Nao,'\'(-inf-24]\'',Nao,Nao
5.568211,5,82,0,Sim,Nao,'\'(31-38]\'',Nao,Nao
2.5,1,56,3,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
9.5,8,91,0,Sim,Sim,'\'(31-38]\'',Sim,Nao
5.568211,5,83,2,Sim,Sim,'\'(-inf-24]\'',Sim,Nao
7.1,5,91,0,Sim,Sim,'\'(31-38]\'',Sim,Nao
9.9,6,83,0,Sim,Nao,'\'(31-38]\'',Sim,Nao
8.7,5,91,0,Sim,Sim,'\'(24-31]\'',Nao,Nao
10,8,91,0,Sim,Nao,'\'(31-38]\'',Sim,Sim
7.4,5,85,0,Sim,Nao,'\'(24-31]\'',Nao,Nao
0.8,1,57,5,Nao,Nao,'\'(31-38]\'',Sim,Sim
9.3,7,89,0,Sim,Sim,'\'(31-38]\'',Sim,Nao
8.3,5,94,0,Sim,Sim,'\'(24-31]\'',Nao,Nao
0.6,5,90,2,Sim,Sim,'\'(24-31]\'',Sim,Nao
2.2,1,54,4,Sim,Nao,'\'(-inf-24]\'',Sim,Sim
8.2,6,93,0,Sim,Sim,'\'(38-inf)\'',Nao,Nao
8.4,5,85,0,Sim,Sim,'\'(31-38]\'',Nao,Nao
0.9,2,0,4,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
8.6,7,82,0,Sim,Nao,'\'(-inf-24]\'',Sim,Nao
2.7,3,80,2,Sim,Sim,'\'(31-38]\'',Sim,Nao
0.9,6,89,3,Sim,Sim,'\'(24-31]\'',Sim,Nao
4.1,3,64,5,Sim,Nao,'\'(38-inf)\'',Sim,Sim
0.4,3,40,3,Sim,Nao,'\'(38-inf)\'',Sim,Sim
2.9,2,57,7,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
2.2,2,41,4,Nao,Nao,'\'(24-31]\'',Sim,Sim
2.4,1,53,5,Sim,Nao,'\'(38-inf)\'',Sim,Sim
9.7,8,91,0,Sim,Sim,'\'(24-31]\'',Sim,Sim
9,5,92,0,Sim,Sim,'\'(24-31]\'',Sim,Nao
2.4,1,51,6,Sim,Nao,'\'(31-38]\'',Sim,Sim
0.7,1,45,3,Sim,Nao,'\'(38-inf)\'',Sim,Sim
3.2,2,61,7,Nao,Nao,'\'(24-31]\'',Sim,Sim
8.4,5,98,0,Sim,Nao,'\'(38-inf)\'',Sim,Sim
9.1,7,83,0,Sim,Sim,'\'(31-38]\'',Nao,Nao
1.4,6,78,4,Sim,Sim,'\'(-inf-24]\'',Sim,Nao
2,6,81,3,Nao,Sim,'\'(-inf-24]\'',Sim,Nao
1.5,1,43,5,Nao,Nao,'\'(38-inf)\'',Sim,Sim
5.568211,3,68,3,Sim,Nao,'\'(31-38]\'',Sim,Sim
7.4,6,81,0,Sim,Sim,'\'(31-38]\'',Sim,Nao
8.5,8,80,0,Sim,Nao,'\'(24-31]\'',Nao,Nao
8.3,6,97,0,Sim,Nao,'\'(31-38]\'',Sim,Nao
8.3,8,93,0,Sim,Nao,'\'(31-38]\'',Sim,Sim
8,6,86,0,Sim,Sim,'\'(24-31]\'',Sim,Nao
9,8,92,0,Sim,Nao,'\'(24-31]\'',Sim,Sim
9.8,6,99,0,Sim,Sim,'\'(38-inf)\'',Nao,Sim
9.7,8,100,0,Sim,Sim,'\'(31-38]\'',Nao,Sim
4.4,1,40,6,Sim,Nao,'\'(-inf-24]\'',Sim,Sim
8.7,6,98,0,Sim,Sim,'\'(-inf-24]\'',Sim,Nao
3.6,3,50,5,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
3.1,3,53,3,Sim,Nao,'\'(-inf-24]\'',Sim,Sim
5.568211,3,0,4,Nao,Nao,'\'(31-38]\'',Sim,Sim
2.8,3,68,4,Nao,Nao,'\'(31-38]\'',Sim,Sim
9.4,8,96,0,Sim,Nao,'\'(24-31]\'',Sim,Nao
8.1,8,97,0,Sim,Nao,'\'(24-31]\'',Sim,Sim
0.6,2,47,6,Sim,Nao,'\'(31-38]\'',Sim,Sim
8.5,5,91,0,Sim,Sim,'\'(38-inf)\'',Nao,Sim
0.9,1,66,6,Sim,Nao,'\'(24-31]\'',Sim,Sim
4,2,69,5,Sim,Nao,'\'(24-31]\'',Sim,Sim
0,2,41,5,Nao,Nao,'\'(38-inf)\'',Sim,Sim
8.5,6,87,0,Sim,Sim,'\'(-inf-24]\'',Sim,Nao
3.9,2,45,3,Nao,Nao,'\'(31-38]\'',Sim,Sim
9.6,6,93,0,Sim,Nao,'\'(-inf-24]\'',Nao,Nao
4.6,2,44,7,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
1.5,2,49,7,Nao,Nao,'\'(24-31]\'',Sim,Sim
3.8,5,77,5,Nao,Sim,'\'(38-inf)\'',Sim,Nao
5.568211,1,65,3,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
7.2,8,96,0,Sim,Sim,'\'(38-inf)\'',Sim,Nao
8,6,89,0,Sim,Sim,'\'(38-inf)\'',Sim,Nao
9.5,6,97,0,Sim,Nao,'\'(31-38]\'',Nao,Nao
