@relation dataset_evasao_v2

@attribute Media_Semestral_Notas numeric
@attribute Media_Disciplinas_Matriculadas numeric
@attribute Frequencia_Pct numeric
@attribute Reprovacoes numeric
@attribute Participa_Projetos {Sim,Nao}
@attribute Recebe_Auxilio {Nao,Sim}
@attribute Idade_Ingresso numeric
@attribute Trabalha {Sim,Nao}
@attribute Dia_Matricula {Quinta,Sexta,Terca,Quarta,Segunda}
@attribute Evasao {Sim,Nao}

@data
3.9,3,42,3,Sim,Nao,20,Sim,Quinta,Sim
8.2,5,95,0,Sim,Nao,33,Nao,Terca,Nao
9.7,5,89,0,Sim,Sim,39,Nao,Quinta,Nao
?,3,85,2,Nao,Sim,?,Sim,Segunda,Nao
9.7,6,97,0,Sim,Sim,43,Sim,Segunda,Sim
2.5,3,61,4,Nao,Nao,19,Sim,Sexta,Sim
9.1,7,88,0,Sim,Sim,24,Nao,Segunda,Nao
9.9,8,100,0,Sim,Sim,23,Nao,Quarta,Sim
4.2,2,67,7,Sim,Nao,24,Sim,Segunda,Sim
0.4,3,56,4,Sim,Nao,34,Sim,Quarta,Sim
9.1,6,98,0,Sim,Sim,22,Sim,Terca,Sim
9.6,8,98,0,Sim,Nao,20,Nao,Quinta,Nao
3.7,1,41,3,Sim,Nao,82,Sim,Segunda,Sim
?,5,82,0,Sim,Nao,37,Nao,Quinta,Nao
2.5,1,56,3,Nao,Nao,20,Sim,Segunda,Sim
9.5,8,91,0,Sim,Sim,38,Sim,Segunda,Nao
?,5,83,2,Sim,Sim,22,Sim,Sexta,Nao
7.1,5,91,0,Sim,Sim,?,Sim,Sexta,Nao
9.9,6,83,0,Sim,Nao,36,Sim,Segunda,Nao
8.7,5,91,0,Sim,Sim,28,Nao,Quinta,Nao
10,8,91,0,Sim,Nao,?,Sim,Segunda,Sim
7.4,5,85,0,Sim,Nao,27,Nao,Quinta,Nao
0.8,1,57,5,Nao,Nao,38,Sim,Segunda,Sim
9.3,7,89,0,Sim,Sim,34,Sim,Sexta,Nao
8.3,5,94,0,Sim,Sim,31,Nao,Quarta,Nao
0.6,5,90,2,Sim,Sim,27,Sim,Segunda,Nao
2.2,1,54,4,Sim,Nao,17,Sim,Terca,Sim
8.2,6,93,0,Sim,Sim,40,Nao,Terca,Nao
8.4,5,85,0,Sim,Sim,35,Nao,Quarta,Nao
0.9,2,-10,4,Nao,Nao,23,Sim,Quinta,Sim
8.6,7,82,0,Sim,Nao,22,Sim,Terca,Nao
2.7,3,80,2,Sim,Sim,37,Sim,Sexta,Nao
0.9,6,89,3,Sim,Sim,30,Sim,Quinta,Nao
4.1,3,64,5,Sim,Nao,39,Sim,Sexta,Sim
0.4,3,40,3,Sim,Nao,43,Sim,Segunda,Sim
2.9,2,57,7,Nao,Nao,19,Sim,Sexta,Sim
2.2,2,41,4,Nao,Nao,31,Sim,Segunda,Sim
2.4,1,53,5,Sim,Nao,41,Sim,Terca,Sim
9.7,8,91,0,Sim,Sim,28,Sim,Segunda,Sim
9,5,92,0,Sim,Sim,30,Sim,Quarta,Nao
2.4,1,51,6,Sim,Nao,33,Sim,Segunda,Sim
0.7,1,45,3,Sim,Nao,45,Sim,Sexta,Sim
8.4,8,88,0,Sim,Nao,82,Nao,Terca,Nao
3.2,2,61,7,Nao,Nao,28,Sim,Quinta,Sim
8.4,5,98,0,Sim,Nao,41,Sim,Quarta,Sim
9.1,7,83,0,Sim,Sim,38,Nao,Quarta,Nao
1.4,6,78,4,Sim,Sim,22,Sim,Sexta,Nao
2,6,81,3,Nao,Sim,22,Sim,Quarta,Nao
1.5,1,43,5,Nao,Nao,41,Sim,Terca,Sim
?,3,68,3,Sim,Nao,37,Sim,Terca,Sim
7.4,6,81,0,Sim,Sim,32,Sim,Quinta,Nao
8.5,8,80,0,Sim,Nao,30,Nao,Segunda,Nao
8.3,6,97,0,Sim,Nao,32,Sim,Quarta,Nao
8.3,8,93,0,Sim,Nao,34,Sim,Segunda,Sim
8,6,86,0,Sim,Sim,30,Sim,Quarta,Nao
9,8,92,0,Sim,Nao,29,Sim,Terca,Sim
9.8,6,99,0,Sim,Sim,39,Nao,Quarta,Sim
9.7,8,100,0,Sim,Sim,34,Nao,Sexta,Sim
4.4,1,40,6,Sim,Nao,17,Sim,Quinta,Sim
8.7,6,98,0,Sim,Sim,23,Sim,Sexta,Nao
3.6,3,50,5,Nao,Nao,24,Sim,Quarta,Sim
3.1,3,53,3,Sim,Nao,20,Sim,Terca,Sim
9.5,5,98,0,Sim,Sim,85,Sim,Terca,Nao
?,3,-1,4,Nao,Nao,33,Sim,Segunda,Sim
2.8,3,68,4,Nao,Nao,?,Sim,Sexta,Sim
9.4,8,96,0,Sim,Nao,25,Sim,Sexta,Nao
8.1,8,97,0,Sim,Nao,29,Sim,Terca,Sim
0.6,2,47,6,Sim,Nao,?,Sim,Quinta,Sim
8.5,5,91,0,Sim,Sim,44,Nao,Terca,Sim
0.9,1,66,6,Sim,Nao,28,Sim,Segunda,Sim
4,2,69,5,Sim,Nao,26,Sim,Sexta,Sim
0,2,41,5,Nao,Nao,43,Sim,Quinta,Sim
8.5,6,87,0,Sim,Sim,23,Sim,Sexta,Nao
2.1,2,69,4,Nao,Nao,82,Sim,Quinta,Sim
0.5,3,54,5,Nao,Nao,85,Sim,Quarta,Sim
3.9,2,45,3,Nao,Nao,?,Sim,Segunda,Sim
9.6,6,93,0,Sim,Nao,22,Nao,Quinta,Nao
4.6,2,44,7,Nao,Nao,21,Sim,Terca,Sim
1.5,2,49,7,Nao,Nao,26,Sim,Terca,Sim
3.8,5,77,5,Nao,Sim,45,Sim,Segunda,Nao
?,1,65,3,Nao,Nao,19,Sim,Terca,Sim
7.2,8,96,0,Sim,Sim,43,Sim,Quarta,Nao
8,6,89,0,Sim,Sim,45,Sim,Terca,Nao
9.5,6,97,0,Sim,Nao,36,Nao,Sexta,Nao
